(1, 273)
(1, 128)
(1, 61)
(1, 117)
(1, 203)
(1, 47)
(1, 146)
(1, 115)
(1, 88)
(1, 259)
(1, 87)
(1, 123)
(1, 216)
(1, 83)
(2, 78)
(2, 71)
(1, 153)
(1, 183)
(1, 173)
(1, 239)
(1, 199)
(1, 138)
(1, 249)
(2, 82)
(1, 13)
(1, 59)
(1, 50)
(1, 168)
(1, 9)
(2, 24)
(1, 75)
(1, 287)
(2, 21)
(1, 155)
(1, 30)
(1, 236)
(1, 99)
(1, 35)
(1, 142)
(2, 1)
(1, 114)
(1, 165)
(1, 64)
(1, 33)
(2, 26)
(1, 227)
(1, 86)
(2, 92)
(2, 63)
(1, 144)
(1, 270)
(1, 164)
(2, 64)
(2, 93)
(1, 67)
(1, 112)
(1, 178)
(1, 265)
(2, 98)
(1, 159)
(1, 140)
(1, 78)
(1, 233)
(1, 206)
(2, 65)
(1, 85)
(1, 34)
(1, 215)
(1, 271)
(1, 231)
(1, 42)
(1, 272)
(1, 36)
(2, 35)
(1, 41)
(1, 28)
(1, 71)
(1, 226)
(1, 209)
(1, 124)
(1, 295)
(2, 47)
(1, 181)
(2, 28)
(1, 237)
(2, 94)
(1, 177)
(2, 87)
(2, 25)
(1, 224)
(1, 150)
(1, 57)
(1, 108)
(1, 154)
(1, 17)
(2, 55)
(1, 262)
(1, 29)
(1, 95)
(1, 281)
(1, 161)
(1, 282)
(1, 169)
(1, 288)
(2, 27)
(1, 62)
(1, 212)
(1, 89)
(2, 50)
(1, 96)
(1, 299)
(1, 52)
(1, 5)
(1, 296)
(2, 11)
(2, 41)
(1, 196)
(2, 100)
(1, 130)
(1, 204)
(1, 23)
(2, 23)
(1, 179)
(1, 125)
(2, 39)
(1, 132)
(1, 106)
(1, 217)
(1, 58)
(1, 220)
(1, 221)
(1, 20)
(1, 102)
(1, 152)
(2, 51)
(1, 176)
(1, 15)
(1, 37)
(1, 192)
(2, 42)
(1, 284)
(1, 244)
(2, 16)
