(1, 34)
(2, 41)
(1, 215)
(2, 84)
(1, 196)
(1, 83)
(2, 67)
(1, 201)
(1, 64)
(2, 78)
(1, 254)
(1, 276)
(1, 117)
(1, 227)
(1, 281)
(1, 122)
(1, 144)
(1, 270)
(1, 111)
(1, 133)
(1, 28)
(1, 138)
(1, 288)
(2, 27)
(1, 1)
(1, 191)
(2, 6)
(1, 54)
(1, 172)
(2, 53)
(1, 59)
(2, 32)
(1, 40)
(2, 47)
(1, 221)
(1, 84)
(2, 90)
(1, 194)
(1, 89)
(2, 73)
(1, 247)
(1, 78)
(1, 228)
(1, 274)
(1, 115)
(2, 99)
(1, 233)
(1, 263)
(1, 96)
(1, 158)
(1, 21)
(1, 131)
(2, 18)
(1, 26)
(1, 176)
(2, 1)
(1, 15)
(1, 165)
(2, 12)
(1, 60)
(1, 170)
(2, 59)
(1, 33)
(2, 38)
(1, 214)
(2, 85)
(1, 219)
(1, 82)
(2, 64)
(1, 200)
(1, 71)
(2, 79)
(1, 253)
(1, 116)
(1, 226)
(1, 280)
(1, 121)
(1, 151)
(1, 269)
(1, 110)
(1, 132)
(1, 19)
(1, 137)
(1, 295)
(2, 24)
(1, 190)
(2, 7)
(1, 53)
(1, 163)
(2, 50)
(1, 58)
(2, 33)
(1, 47)
(2, 44)
(1, 220)
(2, 91)
(1, 193)
(1, 88)
(2, 70)
(1, 246)
(1, 77)
(1, 251)
(1, 273)
(1, 114)
(2, 96)
(1, 232)
(1, 262)
(1, 103)
(1, 157)
(1, 267)
(1, 20)
(1, 130)
(2, 19)
(1, 25)
(1, 183)
(2, 30)
(1, 14)
(1, 164)
(2, 13)
(1, 51)
(1, 169)
(2, 56)
(1, 32)
(2, 39)
(1, 213)
(2, 82)
(1, 218)
(1, 81)
(2, 65)
(1, 207)
(1, 70)
(2, 76)
(1, 252)
(1, 75)
(1, 225)
(1, 287)
(1, 120)
(1, 150)
(1, 268)
(1, 109)
(1, 155)
(1, 18)
(1, 136)
(1, 294)
(2, 25)
(1, 7)
(1, 189)
(1, 299)
(2, 4)
(1, 52)
(1, 162)
(2, 51)
(1, 57)
(2, 62)
(1, 46)
(2, 45)
(1, 211)
(2, 88)
(1, 192)
(1, 95)
(2, 71)
(1, 245)
(1, 76)
(1, 250)
(1, 272)
(1, 113)
(2, 97)
(1, 239)
(1, 261)
(1, 102)
(1, 156)
(1, 266)
(1, 107)
(1, 129)
(2, 16)
(1, 24)
(1, 182)
(1, 300)
(2, 31)
(1, 13)
(1, 187)
(2, 10)
(1, 50)
(1, 168)
(2, 57)
(1, 39)
(2, 36)
(1, 212)
(2, 83)
(1, 217)
(1, 80)
(2, 94)
(1, 206)
(1, 69)
(2, 77)
(1, 243)
(1, 74)
(1, 224)
(1, 286)
(1, 127)
(1, 149)
(1, 259)
(1, 108)
(1, 154)
(1, 17)
(1, 143)
(1, 293)
(2, 22)
(1, 6)
(1, 188)
(1, 298)
(2, 5)
(1, 11)
(1, 161)
(2, 48)
(1, 56)
(2, 63)
(1, 45)
(2, 42)
(1, 210)
(2, 89)
(1, 199)
(1, 94)
(2, 68)
(1, 244)
(1, 67)
(1, 249)
(1, 279)
(1, 112)
(1, 238)
(1, 260)
(1, 101)
(1, 147)
(1, 265)
(1, 106)
(1, 128)
(2, 17)
(1, 31)
(1, 181)
(1, 291)
(2, 28)
(1, 12)
(1, 186)
(2, 11)
(1, 49)
(1, 175)
(2, 54)
(1, 38)
(2, 37)
(1, 43)
(2, 80)
(1, 216)
(1, 87)
(2, 95)
(1, 205)
(1, 68)
(2, 74)
(1, 242)
(1, 73)
(1, 231)
(1, 285)
(1, 126)
(2, 100)
(1, 148)
(1, 258)
(1, 99)
(1, 153)
(1, 16)
(1, 142)
(1, 292)
(2, 23)
(1, 5)
(1, 179)
(1, 297)
(2, 2)
(1, 10)
(1, 160)
(2, 49)
(1, 63)
(2, 60)
(1, 44)
(2, 43)
(1, 209)
(2, 86)
(1, 198)
(1, 93)
(2, 69)
(1, 203)
(1, 66)
(1, 248)
(1, 278)
(1, 119)
(1, 237)
(1, 283)
(1, 100)
(1, 146)
(1, 264)
(1, 105)
(1, 135)
(1, 30)
(1, 180)
(1, 290)
(2, 29)
(1, 3)
(1, 185)
(2, 8)
(1, 48)
(1, 174)
(2, 55)
(1, 37)
(2, 34)
(1, 42)
(2, 81)
(1, 223)
(1, 86)
(2, 92)
(1, 204)
(1, 91)
(2, 75)
(1, 241)
(1, 72)
(1, 230)
(1, 284)
(1, 125)
(1, 235)
(1, 257)
(1, 98)
(1, 152)
(1, 23)
(1, 141)
(2, 20)
(1, 4)
(1, 178)
(1, 296)
(2, 3)
(1, 9)
(1, 167)
(2, 14)
(1, 62)
(2, 61)
(1, 35)
(2, 40)
(1, 208)
(2, 87)
(1, 197)
(1, 92)
(2, 66)
(1, 202)
(1, 65)
(1, 255)
(1, 277)
(1, 118)
(1, 236)
(1, 282)
(1, 123)
(1, 145)
(1, 271)
(1, 104)
(1, 134)
(1, 29)
(1, 139)
(1, 289)
(2, 26)
(1, 2)
(1, 184)
(2, 9)
(1, 55)
(1, 173)
(2, 52)
(1, 36)
(2, 35)
(1, 41)
(2, 46)
(1, 222)
(1, 85)
(2, 93)
(1, 195)
(1, 90)
(2, 72)
(1, 240)
(1, 79)
(1, 229)
(1, 275)
(1, 124)
(2, 98)
(1, 234)
(1, 256)
(1, 97)
(1, 159)
(1, 22)
(1, 140)
(2, 21)
(1, 27)
(1, 177)
(1, 8)
(1, 166)
(2, 15)
(1, 61)
(1, 171)
(2, 58)
