(2, 36)
(2, 61)
(1, 149)
(2, 81)
(2, 70)
(2, 4)
(2, 14)
(2, 68)
(2, 22)
(2, 49)
(1, 185)
(2, 48)
(1, 222)
(2, 66)
(2, 52)
(1, 136)
(1, 228)
(1, 31)
(1, 93)
(1, 110)
(1, 258)
(2, 79)
(1, 116)
(1, 68)
(1, 22)
(1, 81)
(1, 151)
(1, 91)
(2, 32)
(1, 134)
(1, 210)
(2, 75)
(2, 33)
(1, 197)
(2, 46)
(2, 12)
(1, 274)
(1, 10)
(2, 10)
(1, 207)
(2, 80)
(2, 29)
(1, 267)
(2, 84)
(1, 131)
(1, 193)
(1, 148)
(1, 230)
(1, 45)
(1, 283)
(2, 58)
(1, 286)
(1, 243)
(1, 18)
(2, 72)
(2, 20)
(1, 235)
(1, 147)
(1, 213)
(1, 38)
(2, 17)
(2, 76)
(1, 292)
(2, 95)
(2, 83)
(2, 19)
(1, 167)
(1, 51)
(1, 122)
(1, 247)
(2, 34)
(1, 48)
(1, 291)
(2, 85)
(2, 3)
(1, 32)
(1, 254)
(2, 96)
(1, 77)
(1, 294)
(1, 275)
(1, 182)
(2, 38)
(2, 88)
(2, 74)
(1, 145)
(1, 277)
(1, 127)
(1, 74)
(2, 57)
(1, 54)
(2, 90)
(1, 225)
(1, 195)
(1, 257)
(1, 298)
(2, 8)
(1, 246)
(1, 200)
(1, 143)
(1, 251)
(2, 18)
(1, 290)
(2, 7)
(1, 90)
(1, 276)
(1, 11)
(1, 24)
(2, 99)
(1, 113)
(2, 30)
(1, 25)
(2, 67)
(1, 263)
(1, 27)
(1, 278)
(1, 66)
(1, 253)
(1, 188)
(2, 73)
(1, 19)
(2, 89)
(1, 16)
(1, 205)
(1, 208)
(1, 94)
(1, 190)
(1, 137)
(2, 86)
(2, 54)
(1, 82)
(1, 289)
(1, 60)
(1, 6)
(1, 255)
(1, 8)
(1, 49)
(1, 163)
(2, 53)
(1, 219)
(1, 55)
(1, 245)
(1, 171)
(1, 105)
(1, 119)
(1, 229)
(1, 160)
(2, 2)
(2, 13)
(1, 198)
(1, 202)
(2, 77)
(1, 248)
(1, 97)
(1, 141)
(2, 6)
(1, 73)
(1, 26)
(1, 63)
(1, 158)
(1, 260)
(1, 240)
(1, 1)
(2, 56)
(1, 241)
(1, 234)
(1, 174)
(1, 162)
(1, 2)
(2, 15)
(1, 92)
(1, 264)
(2, 40)
(1, 268)
(1, 53)
(1, 218)
(1, 98)
(1, 266)
(1, 184)
(1, 126)
(1, 157)
(1, 223)
(1, 252)
(2, 43)
(1, 107)
(1, 214)
(2, 62)
(1, 238)
(1, 65)
(1, 7)
(1, 135)
(1, 100)
(2, 69)
(1, 187)
(1, 172)
(1, 156)
(2, 5)
(1, 201)
(1, 211)
(1, 118)
(1, 21)
(1, 43)
(2, 44)
(1, 232)
(1, 80)
(1, 84)
(1, 101)
(2, 31)
(2, 60)
(1, 191)
(1, 133)
(1, 14)
(1, 285)
(2, 45)
(1, 170)
(1, 3)
(1, 242)
(1, 261)
(1, 46)
(2, 91)
(1, 166)
(1, 69)
(1, 12)
(1, 194)
(1, 39)
(1, 44)
(1, 129)
(1, 297)
(1, 111)
(2, 9)
(1, 56)
(2, 59)
(1, 139)
(1, 104)
(1, 189)
(1, 175)
(1, 109)
(1, 256)
(1, 40)
(1, 269)
(1, 300)
(1, 121)
(1, 280)
(1, 72)
(2, 97)
(1, 250)
(1, 76)
(1, 103)
(1, 293)
(1, 180)
(2, 37)
(1, 186)
(1, 120)
(1, 70)
(1, 79)
(1, 4)
(1, 279)
(2, 16)
(1, 244)
(1, 284)
(2, 42)
(1, 192)
(1, 37)
(1, 15)
(1, 176)
(2, 51)
(1, 152)
(1, 102)
(1, 20)
(1, 221)
(1, 220)
(1, 58)
(1, 217)
(1, 106)
(1, 132)
(2, 39)
(1, 125)
(1, 179)
(2, 23)
(1, 23)
(1, 204)
(1, 130)
(2, 100)
(1, 196)
(2, 41)
(2, 11)
(1, 296)
(1, 5)
(1, 52)
(1, 299)
(1, 96)
(2, 50)
(1, 89)
(1, 212)
(1, 62)
(2, 27)
(1, 288)
(1, 169)
(1, 282)
(1, 161)
(1, 281)
(1, 95)
(1, 29)
(1, 262)
(2, 55)
(1, 17)
(1, 154)
(1, 108)
(1, 57)
(1, 150)
(1, 224)
(2, 25)
(2, 87)
(1, 177)
(2, 94)
(1, 237)
(2, 28)
(1, 181)
(2, 47)
(1, 295)
(1, 124)
(1, 209)
(1, 226)
(1, 71)
(1, 28)
(1, 41)
(2, 35)
(1, 36)
(1, 272)
(1, 42)
(1, 231)
(1, 271)
(1, 215)
(1, 34)
(1, 85)
(2, 65)
(1, 206)
(1, 233)
(1, 78)
(1, 140)
(1, 159)
(2, 98)
(1, 265)
(1, 178)
(1, 112)
(1, 67)
(2, 93)
(2, 64)
(1, 164)
(1, 270)
(1, 144)
(2, 63)
(2, 92)
(1, 86)
(1, 227)
(2, 26)
(1, 33)
(1, 64)
(1, 165)
(1, 114)
(2, 1)
(1, 142)
(1, 35)
(1, 99)
(1, 236)
(1, 30)
(1, 155)
(2, 21)
(1, 287)
(1, 75)
(2, 24)
(1, 9)
(1, 168)
(1, 50)
(1, 59)
(1, 13)
(2, 82)
(1, 249)
(1, 138)
(1, 199)
(1, 239)
(1, 173)
(1, 183)
(1, 153)
(2, 71)
(2, 78)
(1, 83)
(1, 216)
(1, 123)
(1, 87)
(1, 259)
(1, 88)
(1, 115)
(1, 146)
(1, 47)
(1, 203)
(1, 117)
(1, 61)
(1, 128)
(1, 273)
